,ECG,EDA,Photosensor,RSP
89,-0.04058837890625,3.269957355206188,5.0,-6.64764404296875
90,-0.040740966796875,3.269957355206188,5.0,-6.6473388671875
91,-0.0408935546875,3.269957355206188,5.0,-6.65191650390625
92,-0.040740966796875,3.269957355206188,5.0,-6.64794921875
93,-0.040435791015625,3.269957355206188,5.0,-6.6473388671875
94,-0.03936767578125,3.269957355206188,5.0,-6.6473388671875
95,-0.039825439453125,3.269957355206188,5.0,-6.64459228515625
96,-0.038909912109375,3.269957355206188,5.0,-6.644287109375
97,-0.037689208984375,3.257750323956188,5.0,-6.64276123046875
98,-0.035858154296875,3.257750323956188,5.0,-6.64306640625
99,-0.034332275390625,3.257750323956188,5.0,-6.64276123046875
100,-0.033111572265625,3.257750323956188,5.0,-6.6485595703125
